"epoch","outcome_accuracy","outcome_auprc","outcome_auroc","outcome_cost","outcome_f_measure","outcome_weighted_accuracy","part","step","time"
1.0,0.5882352941176471,0.6653533005362371,0.6554773351648351,14546.858690565163,0.5851986287557975,0.5408348457350273,"val",88.0,"2022-08-08 18:14:33.567128"
1.0,0.6149732620320856,0.6428505852602693,0.6304945054945055,14106.172967171053,0.611764705882353,0.5644283121597096,"val",89.0,"2022-08-08 18:14:33.631011"
1.0,0.5935828877005348,0.6259779251378199,0.6179887820512819,14161.424761362416,0.5916091954022988,0.5571687840290381,"val",90.0,"2022-08-08 18:14:33.686863"
1.0,0.5989304812834224,0.6345491697330807,0.6143543956043954,14332.954947249655,0.5959726903465561,0.5517241379310345,"val",91.0,"2022-08-08 18:14:33.743458"
1.0,0.5561497326203209,0.6382987695087097,0.6184752747252745,14459.511348806125,0.5553359117604928,0.5372050816696915,"val",92.0,"2022-08-08 18:14:33.873579"
1.0,0.5828877005347594,0.6475773383802064,0.6312957875457874,14375.328504677924,0.5808620689655173,0.5462794918330308,"val",93.0,"2022-08-08 18:14:34.003491"
1.0,0.5828877005347594,0.6482111736914077,0.6243704212454211,14375.328504677924,0.5808620689655173,0.5462794918330308,"val",94.0,"2022-08-08 18:14:34.126478"
1.0,0.5935828877005348,0.6328061082199059,0.6146405677655676,14723.891062781162,0.5893435043920481,0.5353901996370236,"val",95.0,"2022-08-08 18:14:34.247273"
1.0,0.5935828877005348,0.6407776091244819,0.6265453296703296,14346.444390247985,0.5909509555606723,0.5499092558983666,"val",96.0,"2022-08-08 18:14:34.487285"
1.0,0.5775401069518716,0.6542394623209273,0.6306089743589743,14949.503284600758,0.5735892625198442,0.5226860254083484,"val",97.0,"2022-08-08 18:14:34.726750"
1.0,0.5828877005347594,0.6501159442039699,0.6345009157509156,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",98.0,"2022-08-08 18:14:34.934247"
1.0,0.5828877005347594,0.6380855150143487,0.6149267399267397,14747.884197117577,0.5794117647058823,0.5317604355716878,"val",99.0,"2022-08-08 18:14:35.141780"
1.0,0.5989304812834224,0.6670660933045813,0.6482657967032968,14146.659143172448,0.5966698300405487,0.558983666061706,"val",100.0,"2022-08-08 18:14:35.183766"
1.0,0.6310160427807486,0.6685419560936288,0.6632898351648352,13691.24371730313,0.6282948751188315,0.5843920145190563,"val",101.0,"2022-08-08 18:14:35.224121"
1.0,0.5935828877005348,0.6124554353546254,0.6240842490842491,14533.980453802069,0.5901960784313726,0.542649727767695,"val",102.0,"2022-08-08 18:14:35.261020"
1.0,0.5721925133689839,0.6310050341740951,0.6287488553113552,13540.352351472722,0.5721802791123314,0.5789473684210527,"val",103.0,"2022-08-08 18:14:35.298060"
1.0,0.5989304812834224,0.6330181157202066,0.6298076923076923,13257.008175584622,0.5987468886790833,0.5952813067150635,"val",104.0,"2022-08-08 18:14:35.350365"
1.0,0.5561497326203209,0.6119628538651071,0.6047962454212454,15002.274116434479,0.5536479452448739,0.515426497277677,"val",105.0,"2022-08-08 18:14:35.401857"
1.0,0.5828877005347594,0.6388081438475315,0.6199061355311353,14747.884197117577,0.5794117647058823,0.5317604355716878,"val",106.0,"2022-08-08 18:14:35.449211"
1.0,0.5721925133689839,0.6399800736090839,0.6349015567765566,14227.32758735735,0.5711992662233433,0.5499092558983666,"val",107.0,"2022-08-08 18:14:35.495407"
1.0,0.5775401069518716,0.64861498376902,0.6454899267399266,14209.788360244993,0.5763285439788924,0.5517241379310345,"val",108.0,"2022-08-08 18:14:35.558057"
1.0,0.6203208556149733,0.6448892936336915,0.6473214285714286,14093.888311338726,0.6167700966950498,0.5662431941923775,"val",109.0,"2022-08-08 18:14:35.622151"
1.0,0.5882352941176471,0.6337265406290147,0.6250572344322345,14360.562886487956,0.58591435884163,0.5480943738656987,"val",110.0,"2022-08-08 18:14:35.678125"
1.0,0.5989304812834224,0.6436415764532004,0.6361034798534799,14146.659143172448,0.5966698300405487,0.558983666061706,"val",111.0,"2022-08-08 18:14:35.734607"
1.0,0.5721925133689839,0.6354021448638195,0.6191048534798536,14961.787940433085,0.5686274509803921,0.5208711433756806,"val",112.0,"2022-08-08 18:14:35.863175"
1.0,0.5668449197860963,0.6343706152106436,0.6209363553113552,14788.37037311897,0.5644034164437925,0.5263157894736842,"val",113.0,"2022-08-08 18:14:35.991387"
1.0,0.5614973262032086,0.6485470355224395,0.6284340659340657,14988.155620194508,0.5586576099470413,0.5172413793103449,"val",114.0,"2022-08-08 18:14:36.103303"
1.0,0.5989304812834224,0.6479386000522988,0.6291208791208791,14332.954947249655,0.5959726903465561,0.5517241379310345,"val",115.0,"2022-08-08 18:14:36.216077"
1.0,0.5828877005347594,0.6497985552751411,0.6296932234432233,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",116.0,"2022-08-08 18:14:36.455076"
1.0,0.5775401069518716,0.6584425760618873,0.6382783882783881,14574.466629803464,0.5751588876427113,0.5372050816696915,"val",117.0,"2022-08-08 18:14:36.693176"
1.0,0.5775401069518716,0.6417850789184925,0.624885531135531,14390.759535228188,0.5757932519741564,0.5444646098003629,"val",118.0,"2022-08-08 18:14:36.896771"
1.0,0.5668449197860963,0.6501151410533372,0.6279761904761905,14788.37037311897,0.5644034164437925,0.5263157894736842,"val",119.0,"2022-08-08 18:14:37.104660"
1.0,0.5668449197860963,0.6097043235728652,0.6240270146520144,13898.719405531147,0.56664663977341,0.5626134301270418,"val",120.0,"2022-08-08 18:14:37.145103"
1.0,0.5828877005347594,0.6063781209322177,0.6101190476190477,13663.376273779184,0.5825892857142857,0.5753176043557169,"val",121.0,"2022-08-08 18:14:37.183894"
1.0,0.5614973262032086,0.6238851163649145,0.6322115384615384,14264.647813564807,0.5608820160366552,0.5462794918330308,"val",122.0,"2022-08-08 18:14:37.218966"
1.0,0.5828877005347594,0.6101237809706526,0.6345009157509157,13836.84032693379,0.5823024054982817,0.5680580762250453,"val",123.0,"2022-08-08 18:14:37.254497"
1.0,0.5775401069518716,0.6183180205769871,0.6290064102564101,14574.466629803464,0.5751588876427113,0.5372050816696915,"val",124.0,"2022-08-08 18:14:37.305664"
1.0,0.5614973262032086,0.6142185279405965,0.5954097985347986,14988.155620194508,0.5586576099470413,0.5172413793103449,"val",125.0,"2022-08-08 18:14:37.357873"
1.0,0.5828877005347594,0.6391779170746386,0.6355311355311355,14560.348133563492,0.5801865070227953,0.5390199637023594,"val",126.0,"2022-08-08 18:14:37.403314"
1.0,0.5882352941176471,0.6437361737523684,0.6363324175824177,13817.8001188596,0.5874803036814209,0.5698729582577132,"val",127.0,"2022-08-08 18:14:37.447380"
1.0,0.6042780748663101,0.5971588776056533,0.6052541208791209,12735.50740155,0.6042667581789065,0.6188747731397459,"val",128.0,"2022-08-08 18:14:37.510525"
1.0,0.5561497326203209,0.6141090879322265,0.6196771978021978,14637.59584687601,0.5548768246866844,0.52994555353902,"val",129.0,"2022-08-08 18:14:37.574475"
1.0,0.5454545454545454,0.6028144852885864,0.6041666666666665,14673.415092121633,0.5446211144535167,0.5263157894736842,"val",130.0,"2022-08-08 18:14:37.629882"
1.0,0.5721925133689839,0.6495917230789459,0.6433150183150185,13707.095053292487,0.5720823798627002,0.5716878402903811,"val",131.0,"2022-08-08 18:14:37.684541"
1.0,0.5454545454545454,0.6185451490595031,0.6057692307692307,14851.499590191517,0.5441509650405805,0.5190562613430127,"val",132.0,"2022-08-08 18:14:37.814974"
1.0,0.5935828877005348,0.6469729422307111,0.6286057692307694,14161.424761362416,0.5916091954022988,0.5571687840290381,"val",133.0,"2022-08-08 18:14:37.944048"
1.0,0.5721925133689839,0.6252350830842308,0.6164720695970696,14774.251876879,0.5694220584849182,0.5281306715063521,"val",134.0,"2022-08-08 18:14:38.055703"
1.0,0.5668449197860963,0.6357965526793403,0.6161286630036629,14245.607605490617,0.5660507090674689,0.5480943738656987,"val",135.0,"2022-08-08 18:14:38.168463"
1.0,0.5989304812834224,0.6508113659594219,0.6369619963369962,14332.954947249655,0.5959726903465561,0.5517241379310345,"val",136.0,"2022-08-08 18:14:38.411550"
1.0,0.5882352941176471,0.65061806195627,0.6322115384615383,14735.59954128525,0.5843844710636455,0.5335753176043557,"val",137.0,"2022-08-08 18:14:38.653053"
1.0,0.5775401069518716,0.6407623945072289,0.6264880952380952,14574.466629803464,0.5751588876427113,0.5372050816696915,"val",138.0,"2022-08-08 18:14:38.862356"
1.0,0.5882352941176471,0.6548884878176606,0.6307806776556776,14360.562886487956,0.58591435884163,0.5480943738656987,"val",139.0,"2022-08-08 18:14:39.071064"
1.0,0.5721925133689839,0.6051259453723289,0.5897435897435896,14774.251876879,0.5694220584849182,0.5281306715063521,"val",140.0,"2022-08-08 18:14:39.112195"
1.0,0.5721925133689839,0.6252136253704291,0.6200206043956042,14774.251876879,0.5694220584849182,0.5281306715063521,"val",141.0,"2022-08-08 18:14:39.151372"
1.0,0.5775401069518716,0.6401199529110878,0.624742445054945,13856.660345570854,0.5771047433658718,0.5662431941923775,"val",142.0,"2022-08-08 18:14:39.187294"
1.0,0.5828877005347594,0.6353555915295179,0.6245993589743589,14937.79480609667,0.5785367545076283,0.5245009074410163,"val",143.0,"2022-08-08 18:14:39.224086"
1.0,0.5882352941176471,0.6213688689628767,0.6063129578754578,14176.85579191268,0.5865326633165829,0.5553539019963702,"val",144.0,"2022-08-08 18:14:39.275592"
1.0,0.5614973262032086,0.6337474608336705,0.6297504578754578,14264.647813564807,0.5608820160366552,0.5462794918330308,"val",145.0,"2022-08-08 18:14:39.327634"
1.0,0.5989304812834224,0.6387626018868131,0.6355883699633699,14146.659143172448,0.5966698300405487,0.558983666061706,"val",146.0,"2022-08-08 18:14:39.374640"
1.0,0.5508021390374331,0.628122058793823,0.6187328296703295,14134.902539923503,0.5506864988558352,0.5499092558983666,"val",147.0,"2022-08-08 18:14:39.421788"
1.0,0.5828877005347594,0.6321777419942762,0.6142971611721613,14747.884197117577,0.5794117647058823,0.5317604355716878,"val",148.0,"2022-08-08 18:14:39.484680"
1.0,0.5668449197860963,0.616805680650689,0.6102335164835164,14604.663278543696,0.56505384063173,0.5335753176043557,"val",149.0,"2022-08-08 18:14:39.548676"
1.0,0.5561497326203209,0.62393757396197,0.611921932234432,14818.567021859204,0.5543144292893036,0.5226860254083484,"val",150.0,"2022-08-08 18:14:39.604326"
1.0,0.5828877005347594,0.6290514832419059,0.6331272893772895,14747.884197117577,0.5794117647058823,0.5317604355716878,"val",151.0,"2022-08-08 18:14:39.660982"
1.0,0.5721925133689839,0.6374421510096371,0.6245993589743588,14406.874490250988,0.5707070707070707,0.542649727767695,"val",152.0,"2022-08-08 18:14:39.799957"
1.0,0.5721925133689839,0.6506363632535092,0.6283768315018314,14227.32758735735,0.5711992662233433,0.5499092558983666,"val",153.0,"2022-08-08 18:14:39.931392"
1.0,0.5775401069518716,0.6604074290015487,0.6353021978021978,14760.76243388067,0.574424567165039,0.52994555353902,"val",154.0,"2022-08-08 18:14:40.044225"
1.0,0.5775401069518716,0.6420050320487023,0.6268315018315016,15333.763210688774,0.5716108452950559,0.5081669691470054,"val",155.0,"2022-08-08 18:14:40.157841"
1.0,0.5828877005347594,0.637603229882173,0.6249999999999999,14192.97074693548,0.5814393939393939,0.5535390199637024,"val",156.0,"2022-08-08 18:14:40.399403"
1.0,0.5989304812834224,0.6451707878749623,0.6284913003663002,14332.954947249655,0.5959726903465561,0.5517241379310345,"val",157.0,"2022-08-08 18:14:40.639232"
1.0,0.5935828877005348,0.6432497067535184,0.6214514652014649,14533.980453802069,0.5901960784313726,0.542649727767695,"val",158.0,"2022-08-08 18:14:40.846898"
1.0,0.5882352941176471,0.6431970231110617,0.626087454212454,14360.562886487956,0.58591435884163,0.5480943738656987,"val",159.0,"2022-08-08 18:14:41.054755"
1.0,0.5989304812834224,0.6559058377869524,0.6538461538461537,13781.980873613977,0.5977802632711005,0.573502722323049,"val",160.0,"2022-08-08 18:14:41.096479"
1.0,0.5668449197860963,0.6313568330252939,0.6179601648351647,14070.564088886362,0.5663985343371597,0.5553539019963702,"val",161.0,"2022-08-08 18:14:41.137079"
1.0,0.5454545454545454,0.6423522428811417,0.6294642857142855,15402.473663827195,0.5421023823927635,0.49727767695099817,"val",162.0,"2022-08-08 18:14:41.173485"
1.0,0.5668449197860963,0.6181950399954486,0.6216804029304028,14423.692103560501,0.5656026843327884,0.5408348457350273,"val",163.0,"2022-08-08 18:14:41.210126"
1.0,0.5775401069518716,0.6496332100113311,0.6309523809523809,14390.759535228188,0.5757932519741564,0.5444646098003629,"val",164.0,"2022-08-08 18:14:41.261783"
1.0,0.5508021390374331,0.6400952708647607,0.627661401098901,14834.681976882004,0.5492424242424243,0.5208711433756806,"val",165.0,"2022-08-08 18:14:41.314662"
1.0,0.5775401069518716,0.6333601512021498,0.6308665293040292,14760.76243388067,0.574424567165039,0.52994555353902,"val",166.0,"2022-08-08 18:14:41.361702"
1.0,0.5989304812834224,0.6316084089040641,0.6174450549450549,13603.896375544093,0.5981951009883971,0.5807622504537205,"val",167.0,"2022-08-08 18:14:41.408142"
1.0,0.5989304812834224,0.6517480815597791,0.6391941391941391,14521.695797969742,0.5951796796074469,0.5444646098003629,"val",168.0,"2022-08-08 18:14:41.470478"
